ExactMolWt-first-AX,Kappa3-first-AX,ExactMolWt-second-AX,Kappa2-second-AX,qed-first-BX2,first-t,first-u,second-t,second-u,FpDensityMorgan1-postprocessing,HallKierAlpha-postprocessing,HeavyAtomMolWt-postprocessing,Kappa1-postprocessing,SMR_VSA1-postprocessing,qed-postprocessing,stability assessment
259.8099249,1.141408395,211.823789,3.531948052,0.374141795,0.812187665,0.355577689,0.783264879,0.364285714,1,0.25,49.46,56.25,12.40703316,0.313885693,0
259.8099249,1.141408395,211.823789,3.531948052,0.374141795,0.812187665,0.355577689,0.783264879,0.364285714,0.5,0.69,333.087,20.99676047,28.45967098,0.364756227,0
259.8099249,1.141408395,158.9544972,16.13717496,0.374141795,0.814856386,0.364285714,0.859854315,0.355577689,1,1.03025974,143.321,11.76764621,34.78728319,0.317190653,0
259.8099249,1.141408395,158.9544972,16.13717496,0.374141795,0.814856386,0.364285714,0.859854315,0.355577689,1.333333333,0.69,152.922,9.348835475,29.7103076,0.347458171,0
211.823789,0.926900863,211.823789,3.531948052,0.374141795,0.815544882,0.378177966,0.786843176,0.388043478,1,1.926363636,74.551,9.060883757,63.79156807,0.251153055,0
211.823789,0.926900863,211.823789,3.531948052,0.374141795,0.815544882,0.378177966,0.786843176,0.388043478,1,0.25,49.46,56.25,12.40703316,0.313885693,0
211.823789,0.926900863,259.8099249,3.781948052,0.386742851,0.834865095,0.540909091,0.7819219,0.355577689,0.666666667,2.382077922,461.008,18.21370278,47.95328025,0.249154665,0
211.823789,0.926900863,259.8099249,3.781948052,0.386742851,0.834865095,0.540909091,0.7819219,0.355577689,0.5,0.69,333.087,20.99676047,28.45967098,0.364756227,0
259.8099249,1.141408395,259.8099249,3.781948052,0.386742851,0.834865095,0.540909091,0.776992421,0.324545455,0.666666667,1.882077922,367.008,20.77102858,33.9629017,0.374141795,0
259.8099249,1.141408395,259.8099249,3.781948052,0.386742851,0.834865095,0.540909091,0.776992421,0.324545455,0.666666667,1.758701299,278.519,21.73601398,33.9629017,0.386859337,0
170.9424697,79.2,158.9544972,16.13717496,0.374141795,0.834865095,0.540909091,0.849789961,0.324545455,1,0.887402597,42.394,13.06155996,31.26763637,0.236824831,0
170.9424697,79.2,158.9544972,16.13717496,0.374141795,0.834865095,0.540909091,0.849789961,0.324545455,1.333333333,0.69,152.922,9.348835475,29.7103076,0.347458171,0
170.9424697,79.2,170.9424697,10.75555556,0.374141795,0.86225654,0.528301887,0.93032034,0.334661355,1.75,-0.24,75.478,9.246570248,0,0.311705297,1
170.9424697,79.2,170.9424697,10.75555556,0.374141795,0.86225654,0.528301887,0.93032034,0.334661355,1.333333333,0.25,61.471,10.53,0,0.423982533,0
170.9424697,79.2,170.9424697,10.75555556,0.386742851,0.86225654,0.528301887,0.93032034,0.334661355,0.666666667,1.882077922,367.008,20.77102858,33.9629017,0.374141795,0
170.9424697,79.2,170.9424697,10.75555556,0.386742851,0.86225654,0.528301887,0.93032034,0.334661355,0.666666667,1.502077922,278.106,24.47257634,24.81406632,0.386742851,0
170.9424697,79.2,170.9424697,10.75555556,0.249154665,0.870742993,0.586387435,0.940783475,0.355932203,0.5,0.322467532,83.976,458.8611005,14.11318915,0.255587847,0
170.9424697,79.2,170.9424697,10.75555556,0.249154665,0.870742993,0.586387435,0.940783475,0.355932203,0.666666667,1.099480519,134.452,32.57853653,41.88274447,0.289557745,0
158.9544972,2.69,158.9544972,16.13717496,0.374141795,0.886603118,0.751677852,0.866898782,0.378177966,1,0.25,49.46,56.25,12.40703316,0.313885693,0
158.9544972,2.69,158.9544972,16.13717496,0.374141795,0.886603118,0.751677852,0.866898782,0.378177966,0.5,0.69,333.087,20.99676047,28.45967098,0.364756227,0
158.9544972,2.69,259.8099249,3.781948052,0.374141795,1.009829812,0.378177966,0.785372251,0.378177966,1.333333333,0.44,105.922,9.876728395,0,0.473886569,0
158.9544972,2.69,259.8099249,3.781948052,0.386742851,1.009829812,0.378177966,0.785372251,0.378177966,0.666666667,2.258701299,372.519,18.69456052,47.95328025,0.293220167,0
158.9544972,2.69,158.9544972,16.13717496,0.386742851,1.063765409,0.540909091,0.859854315,0.355577689,0.666666667,1.758701299,278.519,21.73601398,33.9629017,0.386859337,0
158.9544972,2.69,158.9544972,16.13717496,0.386742851,1.063765409,0.540909091,0.859854315,0.355577689,0.666666667,2.258701299,372.519,18.69456052,47.95328025,0.293220167,0
67.01887687,2.25,158.9544972,16.13717496,0.386742851,1.063765409,0.540909091,0.849789961,0.324545455,1.333333333,0.44,105.922,9.876728395,0,0.473886569,1
67.01887687,2.25,158.9544972,16.13717496,0.386742851,1.063765409,0.540909091,0.849789961,0.324545455,0.5,0.69,333.087,20.99676047,28.45967098,0.364756227,0
110.9683613,2.44,110.9683613,26.13421488,0.386859337,0.986612117,0.324545455,0.88444646,0.365217391,1.75,-0.24,75.478,9.246570248,0,0.311705297,0
110.9683613,2.44,110.9683613,26.13421488,0.386859337,0.986612117,0.324545455,0.88444646,0.365217391,1.75,0.2,166.929,8.885950413,23.97664013,0.222114659,1
110.9683613,2.44,80.01412584,14.80155125,0.332855883,0.976045195,0.561320755,0.992241355,0.471248247,1.333333333,0.25,61.471,10.53,0,0.423982533,0
110.9683613,2.44,80.01412584,14.80155125,0.332855883,0.976045195,0.561320755,0.992241355,0.471248247,1.333333333,0.69,152.922,9.348835475,29.7103076,0.347458171,0
259.8099249,1.141408395,170.9424697,10.75555556,0.249154665,0.928501237,0.378177966,0.940783475,0.355932203,0.666666667,1.099480519,134.452,32.57853653,41.88274447,0.289557745,0
259.8099249,1.141408395,170.9424697,10.75555556,0.249154665,0.928501237,0.378177966,0.940783475,0.355932203,0.5,1.389480519,162.204,53.78587444,54.28977764,0.310336885,0
259.8099249,1.141408395,170.9424697,10.75555556,0.249154665,0.928501237,0.378177966,0.940783475,0.355932203,0.666666667,1.502077922,278.106,24.47257634,24.81406632,0.386742851,0
259.8099249,1.141408395,158.9544972,16.13717496,0.249154665,0.981367195,0.574879227,0.859854315,0.355577689,1,1.22025974,187.772,10.66090086,39.36170088,0.355106925,0
259.8099249,1.141408395,158.9544972,16.13717496,0.249154665,0.981367195,0.574879227,0.859854315,0.355577689,1,1.03025974,143.321,11.76764621,34.78728319,0.317190653,0
259.8099249,1.141408395,110.9683613,26.13421488,0.249154665,0.981367195,0.574879227,0.869901921,0.388043478,1,1.926363636,74.551,9.060883757,63.79156807,0.251153055,0
211.823789,0.926900863,110.9683613,26.13421488,0.293220167,0.981367195,0.574879227,0.869901921,0.388043478,1,1.29,58.443,10.36781984,41.96431919,0.243392421,0
211.823789,0.926900863,158.9544972,16.13717496,0.293220167,1.026216575,0.61878453,0.859854315,0.355577689,1,0.887402597,42.394,13.06155996,31.26763637,0.236824831,0
211.823789,0.926900863,158.9544972,16.13717496,0.293220167,1.026216575,0.61878453,0.859854315,0.355577689,1,1.29,58.443,10.36781984,41.96431919,0.243392421,0
211.823789,0.926900863,167.8743046,3.341948052,0.293220167,0.792744608,0.291666667,0.778914522,0.336475024,0.666666667,1.758701299,278.519,21.73601398,33.9629017,0.386859337,0
211.823789,0.926900863,167.8743046,3.341948052,0.293220167,0.792744608,0.291666667,0.778914522,0.336475024,0.666666667,2.258701299,372.519,18.69456052,47.95328025,0.293220167,0
211.823789,0.926900863,110.9683613,26.13421488,0.293220167,0.798756985,0.319892473,0.864853691,0.312267658,1,1.22025974,187.772,10.66090086,39.36170088,0.355106925,0
167.8743046,0.768943006,110.9683613,26.13421488,0.332855883,0.798756985,0.319892473,0.864853691,0.312267658,1.75,0.2,166.929,8.885950413,23.97664013,0.222114659,0
167.8743046,0.768943006,67.01887687,56.25,0.332855883,0.82714034,0.312267658,0.866547466,0.316682375,1,1.29,58.443,10.36781984,41.96431919,0.243392421,1
167.8743046,0.768943006,67.01887687,56.25,0.386859337,0.82714034,0.312267658,0.866547466,0.316682375,0.666666667,1.502077922,278.106,24.47257634,24.81406632,0.386742851,0
167.8743046,0.768943006,80.01412584,14.80155125,0.386859337,0.839840136,0.371270718,0.992241355,0.471248247,1,1.926363636,74.551,9.060883757,63.79156807,0.251153055,1
167.8743046,0.768943006,80.01412584,14.80155125,0.386859337,0.839840136,0.371270718,0.992241355,0.471248247,1,0.887402597,42.394,13.06155996,31.26763637,0.236824831,0
167.8743046,0.768943006,80.01412584,14.80155125,0.386859337,0.835459497,0.348186528,0.948127062,0.371270718,0.666666667,1.882077922,367.008,20.77102858,33.9629017,0.374141795,0
167.8743046,0.768943006,80.01412584,14.80155125,0.306447492,0.835459497,0.348186528,0.948127062,0.371270718,0.666666667,2.382077922,461.008,18.21370278,47.95328025,0.249154665,0
167.8743046,0.768943006,259.8099249,3.781948052,0.306447492,0.946179049,0.291666667,0.776992421,0.324545455,0.666666667,1.502077922,278.106,24.47257634,24.81406632,0.386742851,1
170.9424697,79.2,259.8099249,3.781948052,0.249154665,0.946179049,0.291666667,0.776992421,0.324545455,0.666666667,2.258701299,372.519,18.69456052,47.95328025,0.293220167,0
170.9424697,79.2,211.823789,3.531948052,0.249154665,0.946179049,0.291666667,0.789736115,0.312267658,1.75,-0.24,75.478,9.246570248,0,0.311705297,1
170.9424697,79.2,211.823789,3.531948052,0.249154665,0.946179049,0.291666667,0.789736115,0.312267658,1.75,0.2,166.929,8.885950413,23.97664013,0.222114659,0
170.9424697,79.2,67.01887687,56.25,0.249154665,1.047386836,0.371270718,0.919441039,0.471248247,0.5,0.322467532,83.976,458.8611005,14.11318915,0.255587847,0
80.01412584,17.64888889,67.01887687,56.25,0.332855883,1.047386836,0.371270718,0.919441039,0.471248247,1,1.926363636,74.551,9.060883757,63.79156807,0.251153055,1
80.01412584,17.64888889,167.8743046,3.341948052,0.332855883,1.036156471,0.348186528,0.784129002,0.369948187,0.666666667,1.346233766,95.211,26.85249704,24.81406632,0.262552133,0
80.01412584,17.64888889,167.8743046,3.341948052,0.386859337,1.036156471,0.348186528,0.784129002,0.369948187,1,0.25,49.46,56.25,12.40703316,0.313885693,1
80.01412584,17.64888889,170.9424697,10.75555556,0.386859337,1.019652412,0.316682375,0.915397985,0.305454545,1.75,0.2,166.929,8.885950413,23.97664013,0.222114659,1
80.01412584,17.64888889,170.9424697,10.75555556,0.293220167,1.019652412,0.316682375,0.915397985,0.305454545,1.333333333,0.69,152.922,9.348835475,29.7103076,0.347458171,1
80.01412584,17.64888889,80.01412584,14.80155125,0.293220167,1.067042002,0.392065344,0.937011599,0.348186528,0.666666667,1.099480519,134.452,32.57853653,41.88274447,0.289557745,0
80.01412584,17.64888889,80.01412584,14.80155125,0.306447492,1.067042002,0.392065344,0.937011599,0.348186528,0.666666667,1.346233766,95.211,26.85249704,24.81406632,0.262552133,0
80.01412584,17.64888889,110.9683613,26.13421488,0.306447492,0.881950678,0.291666667,0.864853691,0.312267658,1.333333333,0.69,152.922,9.348835475,29.7103076,0.347458171,0
110.9683613,2.44,67.01887687,56.25,0.249154665,0.881950678,0.291666667,0.878312497,0.348186528,1.333333333,0.25,61.471,10.53,0,0.423982533,0
110.9683613,2.44,67.01887687,56.25,0.249154665,0.881950678,0.291666667,0.878312497,0.348186528,0.666666667,1.502077922,278.106,24.47257634,24.81406632,0.386742851,1
67.01887687,2.25,80.01412584,14.80155125,0.249154665,0.899418894,0.328729282,0.932349987,0.394475138,1.75,-0.24,75.478,9.246570248,0,0.311705297,0
67.01887687,2.25,80.01412584,14.80155125,0.249154665,0.899418894,0.328729282,0.932349987,0.394475138,1.333333333,0.25,61.471,10.53,0,0.423982533,1
67.01887687,2.25,211.823789,3.531948052,0.249154665,0.905980563,0.285714286,0.778162871,0.331784387,1,1.29,58.443,10.36781984,41.96431919,0.243392421,0
67.01887687,2.25,211.823789,3.531948052,0.249154665,0.905980563,0.285714286,0.778162871,0.331784387,1,0.25,49.46,56.25,12.40703316,0.313885693,0
110.9683613,2.44,211.823789,3.531948052,0.386859337,0.948165911,0.342857143,0.795763786,0.342857143,1,1.22025974,187.772,10.66090086,39.36170088,0.355106925,0
110.9683613,2.44,211.823789,3.531948052,0.386859337,0.948165911,0.342857143,0.795763786,0.342857143,1,1.29,58.443,10.36781984,41.96431919,0.243392421,0
110.9683613,2.44,259.8099249,3.781948052,0.293220167,0.936261757,0.312267658,0.776992421,0.324545455,0.666666667,2.382077922,461.008,18.21370278,47.95328025,0.249154665,0
110.9683613,2.44,259.8099249,3.781948052,0.293220167,0.936261757,0.312267658,0.776992421,0.324545455,0.666666667,2.258701299,372.519,18.69456052,47.95328025,0.293220167,0
67.01887687,2.25,167.8743046,3.341948052,0.332855883,0.911454154,0.301075269,0.784129002,0.369948187,1.333333333,0.44,105.922,9.876728395,0,0.473886569,0
67.01887687,2.25,167.8743046,3.341948052,0.332855883,0.911454154,0.301075269,0.784129002,0.369948187,1.333333333,0.25,61.471,10.53,0,0.423982533,0
67.01887687,2.25,170.9424697,10.75555556,0.306447492,0.991575026,0.471248247,0.915397985,0.305454545,1.75,-0.24,75.478,9.246570248,0,0.311705297,1
67.01887687,2.25,170.9424697,10.75555556,0.306447492,0.991575026,0.471248247,0.915397985,0.305454545,0.666666667,2.382077922,461.008,18.21370278,47.95328025,0.249154665,0
158.9544972,2.69,259.8099249,3.781948052,0.293220167,0.93073995,0.305454545,0.776992421,0.324545455,1.5,-1.09,220.001,9.001659028,9.901064579,0.787926811,0
158.9544972,2.69,259.8099249,3.781948052,0.293220167,0.93073995,0.305454545,0.776992421,0.324545455,1.333333333,0.44,105.922,9.876728395,0,0.473886569,0
